Symbol,Date,Open,High,Low,Close,Volume,Rise,industry
HIG,2022-10-21,65.85,67.2,65.59,67.19,1856800.0,-7.06,Insurance—Diversified
HII,2022-10-21,243.59,251.18,242.05,249.89,436900.0,13.78,Aerospace & Defense
HLT,2022-10-21,126.59,132.12,126.13,131.23,2223100.0,-16.2,Lodging
HOLX,2022-10-21,61.61,62.71,60.68,62.51,2096300.0,-18.89,Medical Instruments & Supplies
HON,2022-10-21,176.99,183.31,176.52,182.81,2958800.0,-5.75,Conglomerates
HPE,2022-10-21,12.86,13.49,12.81,13.47,20455500.0,-16.03,Communication Equipment
HPQ,2022-10-21,25.72,26.84,25.57,26.79,7894300.0,-28.97,Computer Hardware
HRL,2022-10-21,44.87,45.3,44.6,44.97,1610400.0,-17.51,Packaged Foods
HSIC,2022-10-21,67.19,70.46,66.97,70.24,1129100.0,-22.62,Medical Distribution
HST,2022-10-21,17.29,17.92,17.21,17.84,8523300.0,-13.24,REIT—Hotel & Motel
HSY,2022-10-21,224.64,228.45,223.52,228.22,705200.0,0.64,Confectioners
HUM,2022-10-21,504.32,513.42,503.38,510.54,1479100.0,12.17,Healthcare Plans
HWM,2022-10-21,34.0,35.42,33.99,35.37,3365900.0,-0.73,Specialty Industrial Machinery
IBM,2022-10-21,128.39,130.85,127.59,129.9,7200400.0,-4.8,Information Technology Services
ICE,2022-10-21,90.31,93.14,89.49,93.05,4953900.0,-22.32,Financial Data & Stock Exchanges
IDXX,2022-10-21,331.13,338.46,320.81,337.65,440800.0,-31.44,Diagnostics & Research
IEX,2022-10-21,200.61,204.45,198.93,203.95,556500.0,4.72,Specialty Industrial Machinery
IFF,2022-10-21,90.81,94.3,90.34,94.07,1898700.0,-24.14,Specialty Chemicals
ILMN,2022-10-21,209.46,220.79,206.78,220.01,1994900.0,-34.48,Diagnostics & Research
INCY,2022-10-21,68.98,70.97,68.15,70.58,4874800.0,-8.17,Biotechnology
INTC,2022-10-21,25.85,27.05,25.79,26.97,53035100.0,-42.19,Semiconductors
INTU,2022-10-21,404.02,418.61,395.82,417.18,1488500.0,-10.26,Software—Application
IP,2022-10-21,31.94,33.08,31.9,33.08,3471400.0,-32.06,Packaging & Containers
IPG,2022-10-21,27.59,28.37,26.75,28.24,6136700.0,-19.82,Advertising Agencies
