Symbol,Date,Open,High,Low,Close,Volume,Rise,industry
AAPL,2022-10-21,142.87,147.85,142.65,147.27,86464700.0,2.71,Consumer Electronics
ABNB,2022-10-21,116.76,120.34,114.64,119.95,4141900.0,2.52,Travel Services
ADBE,2022-10-21,300.99,307.43,298.23,306.37,3656900.0,1.32,Software—Infrastructure
ADI,2022-10-21,141.93,147.42,140.95,146.59,3612400.0,3.17,Semiconductors
ADP,2022-10-21,228.94,233.17,227.42,232.74,2112100.0,1.42,Staffing & Employment Services
ADSK,2022-10-21,197.51,202.21,193.73,201.39,1053600.0,1.8,Software—Application
AEP,2022-10-21,84.11,86.16,83.41,85.63,2278600.0,2.03,Utilities—Regulated Electric
ALGN,2022-10-21,196.58,208.45,192.63,207.67,1183000.0,4.74,Medical Devices
AMAT,2022-10-21,78.83,82.65,78.13,82.42,11568900.0,4.78,Semiconductor Equipment & Materials
AMD,2022-10-21,57.22,58.91,55.71,58.82,95295600.0,1.82,Semiconductors
AMGN,2022-10-21,247.52,252.39,247.01,251.94,3530900.0,1.81,Drug Manufacturers—General
AMZN,2022-10-21,114.79,119.59,114.5,119.32,55611900.0,3.53,Internet Retail
ANSS,2022-10-21,210.87,214.69,208.21,214.15,586700.0,1.73,Software—Application
ASML,2022-10-21,440.48,462.88,437.7,462.23,2754800.0,5.71,Semiconductor Equipment & Materials
ATVI,2022-10-21,72.93,73.17,72.43,72.71,4370800.0,-0.82,Electronic Gaming & Multimedia
AVGO,2022-10-21,432.09,450.66,429.17,449.73,2677300.0,4.52,Semiconductors
AZN,2022-10-21,53.99,55.07,53.78,54.97,4018100.0,1.14,Drug Manufacturers—General
BIDU,2022-10-21,91.01,92.05,88.21,91.23,5428900.0,-2.29,Internet Content & Information
BIIB,2022-10-21,264.3,268.59,261.92,267.62,1575200.0,1.89,Drug Manufacturers—General
BKNG,2022-10-21,1772.03,1829.3,1760.02,1822.79,306900.0,2.77,Travel Services
CDNS,2022-10-21,152.1,158.86,150.69,158.34,2034400.0,3.46,Software—Application
CEG,2022-10-21,84.7,87.46,83.66,87.28,1749200.0,3.22,Utilities—Renewable
CHTR,2022-10-21,327.28,330.76,322.67,330.4,1886900.0,0.69,Telecom Services
CMCSA,2022-10-21,30.31,30.75,30.05,30.48,30815500.0,0.07,Telecom Services
COST,2022-10-21,463.71,479.57,462.28,478.18,2507700.0,2.92,Discount Stores
CPRT,2022-10-21,108.52,109.87,107.51,109.63,1285700.0,0.75,Auto & Truck Dealerships
CRWD,2022-10-21,152.49,157.05,148.59,156.32,2690300.0,1.59,Software—Infrastructure
CSCO,2022-10-21,41.85,42.97,41.81,42.8,25033700.0,2.61,Communication Equipment
CSX,2022-10-21,27.74,28.48,26.96,27.54,29372400.0,1.7,Railroads
CTAS,2022-10-21,391.26,401.22,389.48,399.94,386400.0,1.84,Specialty Business Services
CTSH,2022-10-21,59.11,60.48,58.83,60.28,7847000.0,0.84,Information Technology Services
DDOG,2022-10-21,80.9,82.3,77.65,82.15,4775800.0,-0.23,Software—Application
DLTR,2022-10-21,139.12,143.74,138.37,143.61,2033300.0,3.29,Discount Stores
DOCU,2022-10-21,46.03,48.01,44.8,47.81,4234700.0,2.46,Software—Application
DXCM,2022-10-21,94.18,96.74,91.62,95.68,4012500.0,1.4,Medical Devices
